index,if_anomaly,lof_anomaly,consensus_and,consensus_or,consensus_label_and,consensus_label_or
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,True,True,True,True,-1,-1
failspy/Codestral-22B-v0.1-abliterated-v3,True,True,True,True,-1,-1
S-miguel/The-Trinity-Coder-7B,True,True,True,True,-1,-1
cloudyu/60B_MoE_Coder_v3,True,True,True,True,-1,-1
Qwen/CodeQwen1.5-7B-Chat,True,True,True,True,-1,-1
Gryphe/Codex-24B-Small-3.2,True,True,True,True,-1,-1
Qwen/Qwen2.5-Coder-7B-Instruct,True,True,True,True,-1,-1
01-ai/Yi-Coder-9B-Chat,True,True,True,True,-1,-1
Qwen/Qwen2.5-Coder-0.5B-Instruct,True,True,True,True,-1,-1
Qwen/Qwen2.5-Coder-14B-Instruct,True,True,True,True,-1,-1
Qwen/Qwen2.5-Coder-32B-Instruct,True,True,True,True,-1,-1
Qwen/Qwen2.5-Coder-3B-Instruct,True,True,True,True,-1,-1
mistralai/Codestral-22B-v0.1,True,True,True,True,-1,-1
prithivMLmods/Viper-Coder-HybridMini-v1.3,True,True,True,True,-1,-1
huihui-ai/Qwen2.5-Coder-32B-Instruct-abliterated,False,False,False,False,1,1
WhiteRabbitNeo/WhiteRabbitNeo-2.5-Qwen-2.5-Coder-7B,False,False,False,False,1,1
codellama/CodeLlama-7b-Instruct-hf,False,False,False,False,1,1
codellama/CodeLlama-34b-Instruct-hf,False,False,False,False,1,1
codellama/CodeLlama-13b-Instruct-hf,False,False,False,False,1,1
codellama/CodeLlama-70b-hf,False,False,False,False,1,1
allenai/codetulu-2-7b,False,False,False,False,1,1
allenai/codetulu-2-13b,False,False,False,False,1,1
allenai/codetulu-2-34b,False,False,False,False,1,1
FelixChao/vicuna-33b-coder,False,False,False,False,1,1
FelixChao/Gemma-10.2B-Coder,False,False,False,False,1,1
GeorgiaTechResearchInstitute/starcoder-gpteacher-code-instruct,False,False,False,False,1,1
FelixChao/CodeLlama13B-Finetune-v1,False,False,False,False,1,1
Badgids/Gonzo-Code-7B,False,False,False,False,1,1
Danielbrdz/CodeBarcenas-7b,False,False,False,False,1,1
invalid-coder/Starling-LM-7B-beta-laser-dpo,False,False,False,False,1,1
invalid-coder/Sakura-SOLAR-Instruct-CarbonVillain-en-10.7B-v2-slerp,False,False,False,False,1,1
invalid-coder/SOLAR-10.7B-Instruct-SOLARC-M-10.7B-slerp,False,False,False,False,1,1
invalid-coder/TinyLlama-1.1B-intermediate-step-1431k-3T-laser-dpo,False,False,False,False,1,1
invalid-coder/dolphin-2.1-mistral-7b-snr-laser,False,False,False,False,1,1
invalid-coder/dolphin-2.1-mistral-7b-snr-math-laser,False,False,False,False,1,1
itsliupeng/llama2_7b_code,False,False,False,False,1,1
lqtrung1998/Codellama-7b-hf-ReFT-Rerank-GSM8k,False,False,False,False,1,1
