index,som_cluster,spectral_cluster,consensus_cluster
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,3,0,3
failspy/Codestral-22B-v0.1-abliterated-v3,3,0,3
S-miguel/The-Trinity-Coder-7B,2,0,2
cloudyu/60B_MoE_Coder_v3,2,0,2
Qwen/CodeQwen1.5-7B-Chat,3,0,3
Gryphe/Codex-24B-Small-3.2,1,0,1
Qwen/Qwen2.5-Coder-7B-Instruct,3,0,3
01-ai/Yi-Coder-9B-Chat,3,0,3
Qwen/Qwen2.5-Coder-0.5B-Instruct,3,0,3
Qwen/Qwen2.5-Coder-14B-Instruct,3,0,3
Qwen/Qwen2.5-Coder-32B-Instruct,3,0,3
Qwen/Qwen2.5-Coder-3B-Instruct,3,0,3
mistralai/Codestral-22B-v0.1,1,0,1
prithivMLmods/Viper-Coder-HybridMini-v1.3,3,0,3
huihui-ai/Qwen2.5-Coder-32B-Instruct-abliterated,3,0,3
WhiteRabbitNeo/WhiteRabbitNeo-2.5-Qwen-2.5-Coder-7B,3,0,3
codellama/CodeLlama-7b-Instruct-hf,3,0,3
codellama/CodeLlama-34b-Instruct-hf,3,0,3
codellama/CodeLlama-13b-Instruct-hf,3,0,3
codellama/CodeLlama-70b-hf,3,0,3
allenai/codetulu-2-7b,3,0,3
allenai/codetulu-2-13b,3,0,3
allenai/codetulu-2-34b,3,0,3
FelixChao/vicuna-33b-coder,3,0,3
FelixChao/Gemma-10.2B-Coder,3,0,3
GeorgiaTechResearchInstitute/starcoder-gpteacher-code-instruct,3,0,3
FelixChao/CodeLlama13B-Finetune-v1,3,0,3
Badgids/Gonzo-Code-7B,2,0,2
Danielbrdz/CodeBarcenas-7b,3,0,3
invalid-coder/Starling-LM-7B-beta-laser-dpo,2,0,2
invalid-coder/Sakura-SOLAR-Instruct-CarbonVillain-en-10.7B-v2-slerp,2,0,2
invalid-coder/SOLAR-10.7B-Instruct-SOLARC-M-10.7B-slerp,2,0,2
invalid-coder/TinyLlama-1.1B-intermediate-step-1431k-3T-laser-dpo,3,0,3
invalid-coder/dolphin-2.1-mistral-7b-snr-laser,2,0,2
invalid-coder/dolphin-2.1-mistral-7b-snr-math-laser,2,0,2
itsliupeng/llama2_7b_code,3,0,3
lqtrung1998/Codellama-7b-hf-ReFT-Rerank-GSM8k,3,0,3
lqtrung1998/Codellama-7b-hf-ReFT-GSM8k,3,0,3
llm-agents/tora-code-7b-v1.0,3,0,3
llm-agents/tora-code-34b-v1.0,3,0,3
llm-agents/tora-code-13b-v1.0,3,0,3
deepseek-ai/deepseek-coder-6.7b-instruct,3,0,3
deepseek-ai/deepseek-coder-6.7b-base,3,0,3
deepseek-ai/deepseek-coder-1.3b-instruct,3,0,3
deepseek-ai/deepseek-coder-7b-instruct-v1.5,3,0,3
bullerwins/Codestral-22B-v0.1-hf,2,0,2
budecosystem/code-millenials-34b,3,0,3
codeparrot/codeparrot,3,0,3
codemateai/CodeMate-v0.1,3,0,3
codellama/CodeLlama-7b-Python-hf,3,0,3
codellama/CodeLlama-70b-Python-hf,3,0,3
codellama/CodeLlama-34b-Python-hf,3,0,3
codellama/CodeLlama-13b-Python-hf,3,0,3
google/codegemma-7b-it,3,0,3
google/codegemma-7b,3,0,3
google/codegemma-2b,3,0,3
glaiveai/glaive-coder-7b,3,0,3
ed001/datascience-coder-6.7b,3,0,3
fhai50032/RP-Coder-SM3,2,0,2
stabilityai/stable-code-3b,3,0,3
speechlessai/speechless-codellama-airoboros-orca-platypus-13b,3,0,3
speechlessai/speechless-codellama-34b-v1.0,3,0,3
tyson0420/stack_codellama-7b-inst,3,0,3
rombodawg/test_dataset_Codellama-3-8B,3,0,3
rombodawg/Llama-3-8B-Instruct-Coder,3,0,3
rombodawg/Llama-3-8B-Base-Coder-v3.5-10k,3,0,3
rombodawg/Everyone-Coder-4x7b-Base,2,0,2
shareAI/CodeLLaMA-chat-13b-Chinese,1,1,1
sethuiyer/CodeCalc-Mistral-7B,2,0,2
senseable/33x-coder,3,0,3
uukuguy/speechless-zephyr-code-functionary-7b,2,0,2
uukuguy/speechless-tora-code-7b-v1.0,3,0,3
uukuguy/speechless-codellama-platypus-13b,3,0,3
uukuguy/speechless-codellama-orca-platypus-13b-0.10e,3,0,3
uukuguy/speechless-codellama-orca-airoboros-13b-0.10e,3,0,3
uukuguy/speechless-codellama-orca-13b,3,0,3
uukuguy/speechless-codellama-dolphin-orca-platypus-34b,3,0,3
uukuguy/speechless-codellama-34b-v2.0,3,0,3
uukuguy/speechless-codellama-34b-v1.9,3,0,3
uukuguy/speechless-code-mistral-orca-7b-v1.0,2,0,2
uukuguy/speechless-code-mistral-7b-v2.0,3,0,3
uukuguy/speechless-code-mistral-7b-v1.0,2,0,2
uukuguy/speechless-coder-ds-1.3b,3,0,3
uukuguy/speechless-coder-ds-6.7b,3,0,3
uukuguy/speechless-mistral-hermes-code-7b,2,0,2
rombodawg/Everyone-Coder-33b-Base,3,0,3
mwitiderrick/open_llama_3b_code_instruct_0.1,3,0,3
mrm8488/llama-2-coder-7b,3,0,3
mwitiderrick/open_llama_3b_glaive_code_v0.1,3,0,3
nextai-team/Moe-4x7b-reason-code-qa,2,0,2
nextai-team/Moe-3x7b-QA-Code-Inst,2,0,2
nextai-team/Moe-2x7b-QA-Code,2,0,2
mahiatlinux/MasherAI-v6.1-7B-checkpoint3-code4,2,0,2
microsoft/CodeGPT-small-py,3,0,3
qualis2006/llama-2-7b-int4-python-code-18k,3,0,3
raincandy-u/Coder1.8-ORPO-TEST,3,0,3
oobabooga/CodeBooga-34B-v0.1,3,0,3
OpenAssistant/codellama-13b-oasst-sft-v10,3,0,3
OpenBuddy/openbuddy-codellama2-34b-v11.1-bf16,3,0,3
Phind/Phind-CodeLlama-34B-v2,3,0,3
Phind/Phind-CodeLlama-34B-v1,3,0,3
Phind/Phind-CodeLlama-34B-Python-v1,3,0,3
Plaban81/Moe-4x7b-math-reason-code,2,0,2
Sharathhebbar24/code_gpt2_mini_model,3,0,3
Sharathhebbar24/code_gpt2,3,0,3
Ramikan-BR/tinyllama-coder-py-4bit-v3,3,0,3
Ramikan-BR/tinyllama_PY-CODER-4bit-lora_4k-v5,3,0,3
Ramikan-BR/tinyllama_PY-CODER-4bit-lora_4k-v12,3,0,3
Ramikan-BR/tinyllama-coder-py-v14,3,0,3
Ramikan-BR/tinyllama-coder-py-v13,3,0,3
Ramikan-BR/tinyllama-coder-py-v12,3,0,3
Ramikan-BR/tinyllama-coder-py-4bit-v4,3,0,3
Ramikan-BR/tinyllama-coder-py-4bit-v10,3,0,3
Salesforce/codegen-6B-nl,3,0,3
Salesforce/codegen-6B-multi,3,0,3
Salesforce/codegen-16B-nl,3,0,3
HenryJJ/Instruct_Yi-6B_Dolly_CodeAlpaca,3,0,3
InnerI/I-Code-NousLlama7B-slerp,3,0,3
MAISAAI/gemma-2b-coder,3,0,3
ajibawa-2023/OpenHermes-2.5-Code-290k-13B,3,0,3
ajibawa-2023/Python-Code-33B,3,0,3
ajibawa-2023/Python-Code-13B,3,0,3
ajibawa-2023/Code-Mistral-7B,2,0,2
ajibawa-2023/Code-Llama-3-8B,3,0,3
ajibawa-2023/Code-290k-6.7B-Instruct,3,0,3
ajibawa-2023/Code-290k-13B,3,0,3
ajibawa-2023/Code-13B,3,0,3
beowolx/CodeNinja-1.0-OpenChat-7B,2,0,2
beowolx/MistralHermes-CodePro-7B-v1,2,0,2
altomek/CodeRosa-70B-AB1,3,0,3
Undi95/Nous-Hermes-13B-Code,3,0,3
Undi95/CodeEngine,3,0,3
TheBloke/CodeLlama-34B-Python-fp16,3,0,3
TheBloke/CodeLlama-13B-Instruct-fp16,3,0,3
TheBloke/CodeLlama-13B-Python-fp16,3,0,3
TheBloke/CodeLlama-34B-Instruct-fp16,3,0,3
CodeLlama-70b-Instruct-hf,3,0,3
CodeLlama-34b-hf,3,0,3
CodeLlama-13b-hf,3,0,3
CodeLlama-7b-hf,3,0,3
speechless-codellama-dolphin-orca-platypus-13b,3,0,3
